trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_segments,text
103_203_12_1_20250113_152455_doughnut_board,103_203,board,doughnut,103,1,1,1.01,13.79,12.78,4,"Okay, it's like something sweet like a Like think bread, but sweet Like that and then has another one in the middle"
103_203_13_1_20250113_152513_spinach_board,103_203,board,spinach,103,1,1,2.8,13.8,11.0,1,"Uh, oh no. It's like, I think Lattice, but not Lattice, similar to Lattice. No, no similar to that I think."
103_203_14_1_20250113_152536_balloon_board,103_203,board,balloon,103,1,2,2.61,18.61,16.0,6,"It's latex. You, um... No, you sort of like... Uh... You have them at parties a lot. You usually give them to someone like..."
103_203_14_1_20250113_152536_balloon_board,103_203,board,balloon,103,2,2,20.61,22.61,2.0,1,Yeah.
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,1,3,1.2,6.08,4.88,1,"Okay, it's a type of meat comes from an animal that's pink"
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,2,3,9.72,14.98,5.26,2,No Similother
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,3,3,14.98,17.48,2.5,1,"No, no, no, it's like streaky"
103_203_16_1_20250113_152613_chlorine_board,103_203,board,chlorine,103,1,1,3.98,12.62,8.64,1,"Okay, on the periodic table it would look like CL."
103_203_17_1_20250113_152643_leather_board,103_203,board,leather,103,1,1,1.78,25.1,23.32,5,"Okay, this is a type Okay, you can make clouds out of this and it's from an animal think From an animal that's white with like black patches on it usually You it gives milk"
103_203_18_1_20250113_152657_pillow_board,103_203,board,pillow,103,1,1,2.48,6.86,4.38,1,You do this on it.
103_203_19_1_20250113_152712_traffic_board,103_203,board,traffic,103,1,1,2.19,11.43,9.24,2,This usually happens when you're in the car and it can be quite annoying But it's when there's lots of cars on the road
103_203_20_1_20250113_152735_bitter_board,103_203,board,bitter,103,1,1,2.77,22.3,19.53,3,Think like lemon or like lime you know that sort of weird after feel you get it's that It's quite difficult to explain Yeah
103_203_21_1_20250113_152824_tiger_board,103_203,board,tiger,103,1,2,0.0,36.12,36.12,3,"Um, can I say that isn't one of the words there. Um, so, sort of like farry in, I really don't know how to say that without any other words. Um, a dangerous, no, it's, lives in, yeah, lives in the wild."
103_203_21_1_20250113_152824_tiger_board,103_203,board,tiger,103,2,2,37.0,43.0,6.0,1,"It's, it's not king of the jungle, but like similar in, in that area."
